Coach,School,Conference,Unnamed: 3,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,Unnamed: 10,Since,W.1,L.1,W-L%.1,NCAA,S16,FF,Chmp,Unnamed: 19,W.2,L.2,W-L%.2,NCAA.1,S16.1,FF.1,Chmp.1
Mike Adras,Northern Arizona,Big Sky,,14,14,0.5,,,,,1999-00,172,150,0.534,1.0,,,,,172,150,0.534,1.0,,,
Jesse Agel,Brown,Ivy,,11,20,0.355,,,,,2008-09,20,39,0.339,,,,,,20,39,0.339,,,,
Steve Alford,New Mexico,MWC,,30,5,0.857,,8.0,Lost Second Round,,2007-08,76,26,0.745,1.0,,,,,306,180,0.63,5.0,1.0,,
Frankie Allen,Maryland-Eastern Shore,MEAC,,11,21,0.344,,,,,2008-09,18,44,0.29,,,,,,241,338,0.416,2.0,,,
Jerome Allen,Pennsylvania,Ivy,,6,15,0.286,,,,,2009-10,6,15,0.286,,,,,,6,15,0.286,,,,
Dana Altman,Creighton,MVC,,18,16,0.529,,,,,1994-95,327,176,0.65,7.0,,,,,410,243,0.628,8.0,,,
Tommy Amaker,Harvard,Ivy,,21,8,0.724,,,,,2007-08,43,44,0.494,,,,,,219,183,0.545,1.0,1.0,,
Mike Anderson Sr,Missouri,Big 12,,23,11,0.676,,,Lost Second Round,,2006-07,88,46,0.657,2.0,1.0,,,,177,87,0.67,5.0,2.0,,
Tevester Anderson,Jackson State,SWAC,,19,13,0.594,,,,,2003-04,114,113,0.502,1.0,,,,,217,165,0.568,3.0,,,
Ronnie Arrow,South Alabama,Sun Belt,,17,15,0.531,,,,,1987-88,177,128,0.58,3.0,,,,,272,177,0.606,4.0,,,
Tom Asbury,Pepperdine,WCC,,7,24,0.226,,,,,1988-89,141,106,0.571,3.0,,,,,226,194,0.538,4.0,,,
Dave Balza,Florida Gulf Coast,A-Sun,,8,21,0.276,,,,,2007-08,29,62,0.319,,,,,,29,62,0.319,,,,
Tony Barbee,UTEP,CUSA,,26,7,0.788,,,Lost First Round,,2006-07,82,52,0.612,1.0,,,,,82,52,0.612,1.0,,,
Rick Barnes,Texas,Big 12,,24,10,0.706,3.0,,Lost First Round,,1998-99,294,115,0.719,12.0,5.0,1.0,,,496,249,0.666,18.0,6.0,1.0,
Rod Barnes,Georgia State,CAA,,12,20,0.375,,,,,2007-08,33,61,0.351,,,,,,174,170,0.506,3.0,1.0,,
Jim Baron,Rhode Island,A-10,,26,10,0.722,,,,,2001-02,156,129,0.547,,,,,,362,331,0.522,2.0,,,
Murry Bartow,East Tennessee State,A-Sun,,20,15,0.571,,,Lost First Round,,2003-04,138,87,0.613,3.0,,,,,241,170,0.586,4.0,,,
Duggar Baucom,VMI,Big South,,10,19,0.345,,,,,2005-06,69,81,0.46,,,,,,69,81,0.46,,,,
John Beilein,Michigan,Big Ten,,15,17,0.469,15.0,,,,2007-08,46,53,0.465,1.0,,,,,339,228,0.598,5.0,2.0,,
Randy Bennett,Saint Mary's (CA),WCC,,28,6,0.824,,,Lost Regional Semifinal,,2001-02,183,103,0.64,3.0,1.0,,,,183,103,0.64,3.0,1.0,,
Tony Bennett,Virginia,ACC,,15,16,0.484,,,,,2009-10,15,16,0.484,,,,,,84,49,0.632,2.0,1.0,,
Eddie Biedenbach,UNC Asheville,Big South,,15,16,0.484,,,,,1996-97,196,218,0.473,1.0,,,,,225,269,0.455,1.0,,,
Dave Bike,Sacred Heart,NEC,,14,15,0.483,,,,,1999-00,120,199,0.376,,,,,,120,199,0.376,,,,
Jim Boeheim *,Syracuse,Big East,,30,5,0.857,,4.0,Lost Regional Semifinal,,1976-77,829,293,0.739,27.0,15.0,3.0,1.0,,829,293,0.739,27.0,15.0,3.0,1.0
Ken Bone,Washington State,Pac-10,,16,15,0.516,,,,,2009-10,16,15,0.516,,,,,,93,64,0.592,2.0,,,
David Boots,South Dakota,GWC,,22,10,0.688,,,,,2009-10,22,10,0.688,,,,,,22,10,0.688,,,,
Tad Boyle,Northern Colorado,Big Sky,,25,8,0.758,,,,,2006-07,56,66,0.459,,,,,,56,66,0.459,,,,
Jim Boylen,Utah,MWC,,14,17,0.452,,,,,2007-08,56,42,0.571,1.0,,,,,56,42,0.571,1.0,,,
Todd Bozeman *,Morgan State,MEAC,,27,10,0.73,,,Lost First Round,,2006-07,85,51,0.625,2.0,,,,,148,86,0.632,5.0,1.0,,
John Brady,Arkansas State,Sun Belt,,17,14,0.548,,,,,2008-09,30,31,0.492,,,,,,311,247,0.557,4.0,2.0,1.0,
Matt Brady,James Madison,CAA,,13,20,0.394,,,,,2008-09,34,35,0.493,,,,,,107,85,0.557,,,,
Bobby Braswell,Cal State Northridge,Big West,,11,21,0.344,,,,,1996-97,216,202,0.517,2.0,,,,,216,202,0.517,2.0,,,
Ben Braun,Rice,CUSA,,8,23,0.258,,,,,2008-09,18,45,0.286,,,,,,421,332,0.559,8.0,2.0,,
Mike Brey,Notre Dame,Big East,,23,12,0.657,,,Lost First Round,,2000-01,211,113,0.651,6.0,1.0,,,,310,165,0.653,8.0,1.0,,
Horace Broadnax,Savannah State,Ind,,11,15,0.423,,,,,2005-06,53,93,0.363,,,,,,95,181,0.344,,,,
Keith Brown,Cal State Bakersfield,Ind,,7,22,0.241,,,,,2006-07,38,78,0.328,,,,,,38,78,0.328,,,,
Matt Brown,Kansas City,Summit,,12,18,0.4,,,,,2007-08,30,63,0.323,,,,,,30,63,0.323,,,,
Milan Brown,Mount St. Mary's,NEC,,16,15,0.516,,,,,2003-04,95,120,0.442,1.0,,,,,95,120,0.442,1.0,,,
Will Brown,Albany (NY),AEC,,7,25,0.219,,,,,2001-02,113,149,0.431,2.0,,,,,113,149,0.431,2.0,,,
Brad Brownell,Wright State,Horizon,,20,12,0.625,,,,,2006-07,84,45,0.651,1.0,,,,,167,85,0.663,3.0,,,
Bob Burton,Cal State Fullerton,Big West,,16,15,0.516,,,,,2003-04,123,92,0.572,1.0,,,,,123,92,0.572,1.0,,,
Rick Byrd,Belmont,A-Sun,,19,12,0.613,,,,,1999-00,190,145,0.567,3.0,,,,,190,145,0.567,3.0,,,
Jeff Bzdelik,Colorado,Big 12,,15,16,0.484,,,,,2007-08,36,58,0.383,,,,,,111,105,0.514,1.0,,,
Jim Calhoun,Connecticut,Big East,,18,16,0.529,12.0,,,,1986-87,577,222,0.722,16.0,12.0,3.0,2.0,,825,359,0.697,21.0,12.0,3.0,2.0
John Calipari *,Kentucky,SEC,,35,3,0.921,4.0,2.0,Lost Regional Final,,2009-10,35,3,0.921,1.0,1.0,,,,480,143,0.77,12.0,8.0,2.0,
Joe Callero,Cal Poly,Big West,,12,19,0.387,,,,,2009-10,12,19,0.387,,,,,,12,19,0.387,,,,
Dave Calloway,Monmouth,NEC,,12,19,0.387,,,,,1997-98,169,206,0.451,3.0,,,,,169,206,0.451,3.0,,,
Jeff Capel III *,Oklahoma,Big 12,,13,18,0.419,17.0,,,,2006-07,82,51,0.617,2.0,1.0,,,,161,92,0.636,3.0,1.0,,
Bill Carmody,Northwestern,Big Ten,,20,14,0.588,,,,,2000-01,140,163,0.462,,,,,,232,188,0.552,2.0,,,
David Carter,Nevada,WAC,,21,13,0.618,,,,,2009-10,21,13,0.618,,,,,,21,13,0.618,,,,
Tim Carter,South Carolina State,MEAC,,18,14,0.562,,,,,2007-08,48,48,0.5,,,,,,208,200,0.51,2.0,,,
Patrick Chambers,Boston University,AEC,,21,14,0.6,,,,,2009-10,21,14,0.6,,,,,,21,14,0.6,,,,
Rand Chappell,Central Arkansas,Southland,,9,21,0.3,,,,,2006-07,43,76,0.361,,,,,,43,76,0.361,,,,
Scott Cherry,High Point,Big South,,15,15,0.5,,,,,2009-10,15,15,0.5,,,,,,15,15,0.5,,,,
Jim Christian,TCU,MWC,,13,19,0.406,,,,,2008-09,27,36,0.429,,,,,,164,95,0.633,2.0,,,
Perry Clark,Texas A&M-Corpus Christi,Southland,,17,15,0.531,,,,,2007-08,44,50,0.468,,,,,,294,249,0.541,4.0,,,
Steve Cleveland,Fresno State,WAC,,15,18,0.455,,,,,2005-06,78,81,0.491,,,,,,216,189,0.533,3.0,,,
Bill Coen,Northeastern,CAA,,20,13,0.606,,,,,2006-07,66,62,0.516,,,,,,66,62,0.516,,,,
Charlie Coles,Miami (OH),MAC,,14,18,0.438,,,,,1996-97,241,188,0.562,3.0,1.0,,,,332,273,0.549,4.0,1.0,,
Bobby Collins,Winston-Salem,Ind,,12,17,0.414,,,,,2006-07,37,81,0.314,,,,,,102,138,0.425,1.0,,,
Jimmy Collins,UIC,Horizon,,8,22,0.267,,,,,1996-97,218,208,0.512,3.0,,,,,218,208,0.512,3.0,,,
Ed Conroy,The Citadel,Southern,,16,16,0.5,,,,,2006-07,49,76,0.392,,,,,,49,76,0.392,,,,
Ed Cooley,Fairfield,MAAC,,23,11,0.676,,,,,2006-07,67,61,0.523,,,,,,67,61,0.523,,,,
John Cooper,Tennessee State,OVC,,9,23,0.281,,,,,2009-10,9,23,0.281,,,,,,9,23,0.281,,,,
Ron Cottrell,Houston Christian,GWC,,12,21,0.364,,,,,2008-09,17,46,0.27,,,,,,17,46,0.27,,,,
Tom Crean,Indiana,Big Ten,,10,21,0.323,,,,,2008-09,16,46,0.258,,,,,,206,142,0.592,5.0,1.0,1.0,
Bobby Cremins,College of Charleston,Southern,,22,12,0.647,,,,,2006-07,87,49,0.64,,,,,,541,356,0.603,11.0,5.0,1.0,
Mick Cronin,Cincinnati,Big East,,19,16,0.543,,,,,2006-07,61,68,0.473,,,,,,130,92,0.586,2.0,,,
Gene Cross,Toledo,MAC,,4,28,0.125,,,,,2008-09,11,53,0.172,,,,,,11,53,0.172,,,,
Scott Cross,UT Arlington,Southland,,16,14,0.533,,,,,2006-07,66,57,0.537,1.0,,,,,66,57,0.537,1.0,,,
Keith Dambrot,Akron,MAC,,24,11,0.686,,,,,2004-05,139,62,0.692,1.0,,,,,159,96,0.624,1.0,,,
Doug Davalos,Texas State,Southland,,15,16,0.484,,,,,2006-07,51,68,0.429,,,,,,51,68,0.429,,,,
Emmett Davis,Colgate,Patriot,,10,19,0.345,,,,,1998-99,156,191,0.45,,,,,,156,191,0.45,,,,
Keno Davis,Providence,Big East,,12,19,0.387,,,,,2008-09,31,33,0.484,,,,,,59,38,0.608,1.0,,,
Kermit Davis Jr,Middle Tennessee,Sun Belt,,19,14,0.576,,,,,2002-03,137,110,0.555,,,,,,208,160,0.565,2.0,,,
Mike Davis,UAB,CUSA,,25,9,0.735,,,,,2006-07,85,48,0.639,,,,,,200,127,0.612,4.0,1.0,1.0,
Johnny Dawkins Jr,Stanford,Pac-10,,14,18,0.438,,,,,2008-09,34,32,0.515,,,,,,34,32,0.515,,,,
Ed DeChellis,Penn State,Big Ten,,11,20,0.355,,,,,2003-04,95,123,0.436,,,,,,200,216,0.481,1.0,,,
Mike Deane,Wagner,NEC,,5,26,0.161,,,,,2003-04,94,114,0.452,,,,,,412,308,0.572,4.0,,,
Mike Dement,UNC Greensboro,Southern,,8,23,0.258,,,,,1991-92,115,149,0.436,,,,,,322,339,0.487,1.0,,,
Tommy Dempsey,Rider,MAAC,,17,16,0.515,,,,,2005-06,83,75,0.525,,,,,,83,75,0.525,,,,
Howie Dickenman,Central Connecticut State,NEC,,12,18,0.4,,,,,1996-97,217,196,0.525,3.0,,,,,217,196,0.525,3.0,,,
Dave Dickerson,Tulane,CUSA,,8,22,0.267,,,,,2005-06,68,84,0.447,,,,,,68,84,0.447,,,,
Jamie Dixon,Pittsburgh,Big East,,25,9,0.735,,18.0,Lost Second Round,,2003-04,188,54,0.777,7.0,3.0,,,,188,54,0.777,7.0,3.0,,
Matt Doherty,Southern Mississippi,CUSA,,14,17,0.452,,,,,2006-07,47,75,0.385,,,,,,137,146,0.484,1.0,,,
Cameron Dollar,Seattle,Ind,,17,14,0.548,,,,,2009-10,17,14,0.548,,,,,,17,14,0.548,,,,
Steve Donahue,Cornell,Ivy,,29,5,0.853,,,Lost Regional Semifinal,,2000-01,146,138,0.514,3.0,1.0,,,,146,138,0.514,3.0,1.0,,
Billy Donovan,Florida,SEC,,21,13,0.618,,,Lost First Round,,1996-97,331,139,0.704,10.0,4.0,3.0,2.0,,366,159,0.697,10.0,4.0,3.0,2.0
Pat Douglass,UC Irvine,Big West,,14,18,0.438,,,,,1997-98,197,191,0.508,,,,,,197,191,0.508,,,,
Homer Drew,Valparaiso,Horizon,,15,17,0.469,,,,,1988-89,347,294,0.541,7.0,1.0,,,,347,294,0.541,7.0,1.0,,
