Rk,School,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,71.5,3.5,-0.1129999999999999,-0.024,0.009,-0.5999999999999943,7.299999999999997,2.4000000000000004,4.1,0.022,-1.8000000000000007,-0.5,-0.0809999999999999
2,Air Force,67.7,-5.700000000000003,-0.01,0.0,-0.0489999999999999,-2.5999999999999943,3.5,1.1999999999999993,-2.5,-0.059,-2.0,-0.3000000000000007,-0.001
3,Akron,69.0,-5.200000000000003,-0.064,0.066,-0.0199999999999999,-1.5999999999999943,1.6000000000000014,-0.5,-4.199999999999999,-0.014,1.1000000000000014,-0.5,-0.055
4,Alabama,70.2,2.4000000000000057,0.0539999999999999,-0.024,0.036,0.5999999999999943,1.5999999999999943,-0.4000000000000003,4.199999999999999,0.041,1.8000000000000007,-1.400000000000002,0.031
5,Alabama A&M,68.2,-23.3,0.016,0.0309999999999999,-0.082,-3.5999999999999943,-1.7000000000000028,-5.4,-9.9,-0.09,6.499999999999998,-2.5,-0.0009999999999999
6,Alabama State,70.5,-14.0,-0.114,-0.005,-0.06,-4.200000000000003,-9.699999999999996,-1.7000000000000002,1.299999999999999,-0.0539999999999999,1.3999999999999986,-2.8000000000000043,-0.092
7,Albany (NY),67.3,9.0,0.0919999999999999,-0.0889999999999999,0.017,10.400000000000006,-5.400000000000006,-1.1999999999999993,-2.1999999999999997,0.001,-0.5,10.599999999999998,0.084
8,Alcorn State,70.4,-6.299999999999997,-0.0559999999999999,-0.0279999999999999,-0.009,-3.200000000000003,-4.600000000000001,-0.0999999999999996,-1.1000000000000003,-0.006,1.8999999999999984,-4.0,-0.038
9,American,67.3,-12.599999999999994,-0.1039999999999999,0.1139999999999999,-0.0509999999999999,-9.799999999999995,-0.5,0.3999999999999986,-2.8000000000000007,-0.043,0.5,-7.300000000000001,-0.0889999999999999
10,Appalachian State,72.0,3.0,0.017,0.1049999999999999,0.004,4.599999999999994,0.1000000000000014,-0.9000000000000004,-0.4000000000000003,0.012,0.5,5.600000000000001,-0.008
11,Arizona,68.6,12.599999999999994,0.0579999999999999,-0.0349999999999999,0.0639999999999999,11.200000000000005,2.8000000000000043,-1.700000000000001,5.2,0.0639999999999999,0.6000000000000014,8.199999999999996,0.052
12,Arizona State,72.2,10.799999999999995,0.0859999999999999,0.0139999999999999,0.0359999999999999,-2.0,-5.399999999999999,1.5999999999999996,0.0999999999999996,0.031,-4.600000000000001,-2.700000000000003,0.068
13,Arkansas,71.3,6.799999999999997,-0.0339999999999999,-0.0949999999999999,0.0179999999999999,-2.200000000000003,-4.800000000000004,2.0,5.100000000000001,0.034,-3.6000000000000014,-2.8000000000000007,-0.0419999999999999
14,Arkansas State,70.4,-6.700000000000003,-0.0169999999999999,0.017,-0.0489999999999999,-2.799999999999997,-10.800000000000004,1.5,-1.4000000000000004,-0.056,-0.9000000000000004,-0.1999999999999993,-0.01
15,Arkansas-Pine Bluff,68.4,-8.0,-0.081,-0.006,-0.009,-12.799999999999995,-6.399999999999999,0.0,5.999999999999999,0.004,0.0,-13.4,-0.071
16,Army,71.7,0.2999999999999971,-0.131,0.009,-0.01,-0.7999999999999972,7.5,-1.4000000000000004,-1.9000000000000004,0.008,-1.1000000000000014,0.4000000000000021,-0.108
17,Auburn,73.4,11.900000000000006,0.017,0.0359999999999999,0.02,3.4000000000000057,0.7000000000000028,1.799999999999999,5.899999999999999,0.011,-4.1,4.100000000000001,0.0329999999999999
18,Austin Peay,70.1,2.799999999999997,-0.03,-0.069,-0.0329999999999999,4.400000000000006,1.2000000000000028,1.0999999999999996,-0.2999999999999989,-0.025,-3.3999999999999986,6.900000000000002,-0.0439999999999999
